Matricule	Qualite	Nom usuel	Prenom usuel	Etat	Date naissance	Date de deces	Groupe politique	Type d'app au grp politique	Commission permanente	Circonscription	Fonction au Bureau du Senat	Courrier electronique	PCS INSEE	Categorie professionnelle	Description de la profession
98040R	M.	Peyrat	Jacques	ANCIEN	18/10/1931		Les Républicains		commission des affaires étrangères	Alpes-Maritimes		j.peyrat@senat.fr	Autres personnes sans activité professionnelle	Professions judiciaires et libérales (Avocats)	Avocat
95054K	M.	Peyrefitte	Alain	ANCIEN	26/08/1925	27/11/1999	RPR		commission des affaires étrangères	Seine-et-Marne		Non public	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Ministre plénipotentiaire honoraire
95055L	M.	Peyronnet	Jean-Claude	ANCIEN	07/11/1940		SOCR		commission des affaires étrangères	Haute-Vienne		jc.peyronnet@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Maître de conférences agrégé
89036U	M.	Philibert	Louis	ANCIEN	12/07/1912	21/06/2000	SOCR		commission de la culture	Bouches-du-Rhône			Anciens cadres et professions liberales	Salariés (Retraités)	Conducteur principal de travaux des Ponts et chaussées (retraité)
000023	M.	Philippon	Gustave	ANCIEN	19/09/1900	16/12/1974	SOCR		commission de la culture	Haute-Vienne	Secrétaire du Sénat		Avocats	Professions judiciaires et libérales (Avocats)	Avocat
000030	M.	Piales	Paul	ANCIEN	12/11/1895	06/03/1987	CRARS		commission des affaires sociales	Cantal			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
59554W	M.	Piat	Robert	ANCIEN	03/09/1914	08/10/2007	UC		commission de la culture	Seine-et-Marne			Anciens cadres	Enseignement (Retraités)	Retraité de l'Education nationale
000307	M.	Pic	Maurice	ANCIEN	15/02/1913	30/01/1991	SOCR		commission de la culture	Drôme			Instituteurs et assimilés	Enseignement secondaire	Professeur de l' enseignement secondaire
000747	M.	Picard	André	ANCIEN	22/06/1899	05/07/1979	RI		commission de la culture	Côte-d'Or			Agriculteurs exploitants	Professions agricoles	Agriculteur
98015Q	M.	Picheral	Jean-François	ANCIEN	26/02/1934		SOCR		commission de la culture	Bouches-du-Rhône		jf.picheral@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin radiologue
19533U	M.	Piednoir	Stéphane	ACTIF	25/02/1970		Les Républicains		commission de la culture	Maine-et-Loire		s.piednoir@senat.fr	Professeurs, professions scientifiques	Enseignement secondaire	Professeur
04088S	M.	Pierre	Jackie	ACTIF	27/05/1946		Les Républicains		commission des affaires économiques	Vosges		j.pierre@senat.fr	Cadres d'entreprise	Salariés (Retraités)	Cadre
09010Q	M.	Pignard	Jean-Jacques	ANCIEN	15/04/1947		UC		commission de la culture	Rhône		Non public	Autres personnes sans activité professionnelle	Fonctionnaires (Cadres moyens)	Professeur agrégé d'histoire
07034Q	M.	Pillet	François	ANCIEN	13/05/1950		Les Républicains	Rattaché	commission des lois	Cher		f.pillet@senat.fr	Avocats	Professions judiciaires et libérales (Retraités)	Avocat honoraire
58341F	M.	Pillet	Paul	ANCIEN	01/04/1907	17/12/2002	U.C.D.P.		commission des lois	Loire			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Administrateur de sociétés
000730	M.	Pinchard	Raymond	ANCIEN	16/07/1889	22/08/1961	RI		commission de l'économie	Meurthe-et-Moselle			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Industriel
000143	M.	Pinsard	Jules	ANCIEN	09/04/1906	09/12/1991	G.D.		commission de l'économie	Saône-et-Loire			Agriculteurs exploitants	Professions agricoles	Viticulteur
000514	M.	Pintat	Jean-François	ANCIEN	29/07/1923	14/06/1990	U.R.E.I.		commission des finances	Gironde			Ingenieurs et cadres techniques d'entreprise	Salariés (Ingénieurs)	Ingénieur
98021N	M.	Pintat	Xavier	ANCIEN	15/03/1954		Les Républicains		commission des affaires étrangères	Gironde		x.pintat@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Ingénieur CEA
000052	M.	Pinton	Auguste	ANCIEN	25/08/1901	22/08/1984	G.D.		commission des affaires étrangères	Rhône			Instituteurs et assimilés	Enseignement secondaire	Professeur agrégé
07032N	M.	Pinton	Louis	ANCIEN	24/10/1948	17/11/2016	Les Républicains		commission des affaires sociales	Indre		l.pinton@senat.fr	Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Docteur vétérinaire
000543	M.	Piot	Jacques	ANCIEN	03/02/1925	02/09/1980	RI		commission des lois	Yonne	Secrétaire du Sénat		Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
96006F	M.	Piras	Bernard	ANCIEN	05/06/1942	01/02/2016	SOCR		commission des affaires étrangères	Drôme		bernard.piras@wanadoo.fr	Agriculteurs exploitants	Fonctionnaires (Divers)	Ingénieur agricole
57321W	M.	Pisani	Edgard	ANCIEN	09/10/1918	20/06/2016	SOCR		commission des affaires étrangères	Haute-Marne			Anciens cadres	Fonctionnaires (Retraités)	Ancien Préfet
11069T	M.	Placé	Jean-Vincent	ANCIEN	12/03/1968		SOCR		commission des affaires étrangères	Essonne		jv.place@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Directeur de centre de formation
000698	M.	Plait	André	ANCIEN	08/07/1892	08/04/1979	RI		commission des affaires sociales	Yonne			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
98010K	M.	Plancade	Jean-Pierre	ANCIEN	02/08/1949		RDSE		commission de la culture	Haute-Garonne		jp.plancade@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Cadre du secteur social
59619W	M.	Plantegenest	Marc	ANCIEN	11/06/1943		SOCR	Apparenté	commission des affaires sociales	Saint-Pierre-et-Miquelon			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Fonctionnaire
95056M	M.	Plasait	Bernard	ANCIEN	20/06/1940		Les Républicains		commission des affaires étrangères	Paris			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de société
96002B	M.	Ploton	Régis	ANCIEN	29/08/1936	02/02/1998	RI		commission des affaires étrangères	Haute-Loire			Agriculteurs exploitants	Professions agricoles	Exploitant agricole
83004K	M.	Pluchet	Alain	ANCIEN	01/05/1930		RPR		commission de l'économie	Eure			Agriculteurs exploitants	Professions agricoles	Agriculteur
19319Q	M.	Poadja	Gérard	ACTIF	30/09/1963		UC	Apparenté	commission des affaires étrangères	Nouvelle-Calédonie		g.poadja@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Contractuel ADRAF
000211	M.	Poher	Alain	ANCIEN	17/04/1909	09/12/1996	UC		commission des affaires étrangères	Val-de-Marne			Anciens cadres	Fonctionnaires (Retraités)	Ingénieur civil des Mines
13002U	M.	Poher	Hervé	ANCIEN	19/05/1952		SOCR		commission de l'aménagement du territoire et du développement durable	Pas-de-Calais		h.poher@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin généraliste
000178	M.	Poignant	Fernand	ANCIEN	24/02/1908	20/12/1988	SOCR	Rattaché	commission de la culture	Sarthe			Anciens cadres	Enseignement (Retraités)	Professeur Honoraire
05012A	M.	Pointereau	Rémy	ACTIF	30/03/1953		Les Républicains		commission de l'aménagement du territoire et du développement durable	Cher	Questeur du Sénat	r.pointereau@senat.fr	Agriculteurs exploitants	Professions agricoles	Exploitant agricole
95057N	M.	Poirier	Jean-Marie	ANCIEN	01/12/1929	30/01/2007	Les Républicains		commission des affaires étrangères	Val-de-Marne		Non public	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat
58916Y	M.	Poirier	Raymond	ANCIEN	02/07/1917	21/05/2007	UC		commission de la culture	Eure-et-Loir			Anciens cadres et professions liberales	Salariés (Retraités)	Commerçant
92041R	M.	Poirieux	Guy	ANCIEN	09/03/1936	21/03/2012	RI		commission de la culture	Loire		Non public	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
77058M	M.	Poncelet	Christian	ANCIEN	24/03/1928		Les Républicains		commission des affaires étrangères	Vosges		c.poncelet@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Haut fonctionnaire
98050T	M.	Poniatowski	Ladislas	ACTIF	10/11/1946		Les Républicains		commission des affaires étrangères	Eure		l.poniatowski@senat.fr	Autres personnes sans activité professionnelle	Autres professions	Cadre de sociétés
59556Y	M.	Poniatowski	Michel	ANCIEN	16/05/1922	15/01/2002	RI		commission des affaires étrangères	Val-d'Oise			Cadres et Professions intellectuelles supérieures	Fonctionnaires (Hauts Fonctionnaires)	Administrateur civil
000476	M.	Pontillon	Robert	ANCIEN	04/12/1921	20/03/1992	SOCR		commission des affaires étrangères	Hauts-de-Seine			Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
000141	M.	Poroi	Alfred	ANCIEN	03/03/1906	27/08/1994	U.N.R.	Apparenté	commission des affaires sociales	Polynésie française			Commercants et assimilés	Commerce et industrie (Chefs d'entreprises)	Propriétaire d'agence commerciale
04074L	M.	Portelli	Hugues	ANCIEN	22/12/1947		Les Républicains		commission des lois	Val-d'Oise		h.portelli@senat.fr	Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur des universités
000156	M.	Porteu De La Morandiere	Paul	ANCIEN	13/10/1906	21/01/1993	RI		Aucune (Président du Sénat)	Ille-et-Vilaine			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de banque
58917A	M.	Portier	Henri	ANCIEN	05/06/1921	12/06/2009	RPR		commission des affaires sociales	Aube			Agriculteurs exploitants	Professions agricoles	Agriculteur
000672	M.	Portmann	Georges	ANCIEN	01/07/1890	24/02/1985	RI		commission des finances	Gironde			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Doyen de la Faculté de Médecine et de Pharmacie
59242H	M.	Poudonson	Roger	ANCIEN	14/12/1922	27/12/2000	UC		commission des affaires étrangères	Pas-de-Calais			Cadres de la publicité; cadres des relations publiques	Professions libérales (Publicistes)	Publiciste
000470	M.	Pouille	Richard	ANCIEN	15/08/1921	21/07/1996	U.R.E.I.		commission de l'économie	Meurthe-et-Moselle			Anciens cadres et professions liberales	Salariés (Retraités)	Ingénieur
88002E	M.	Pourchet	Jean	ANCIEN	09/12/1925	27/02/2010	UC		commission de l'économie	Doubs			Agriculteurs exploitants	Professions agricoles	Agriculteur
86043F	M.	Pourny	André	ANCIEN	30/11/1928	10/06/2018	Les Républicains	Rattaché	commission des affaires sociales	Saône-et-Loire			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
95058P	Mme	Pourtaud	Danièle	ANCIEN	23/10/1951		SOCR		commission de la culture	Paris		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Gérante de sociétés
08029X	M.	Povinelli	Roland	ANCIEN	09/08/1941		SOCR		commission des affaires étrangères	Bouches-du-Rhône		r.povinelli@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Cadre administratif
16813M	M.	Poyart	Alain	ANCIEN	18/11/1947		Les Républicains		commission des lois	Nord			Autres personnes sans activité professionnelle	Sans profession déclarée	
04080J	M.	Pozzo di Borgo	Yves	ANCIEN	03/05/1948		UC		commission des affaires étrangères	Paris		y.pozzodiborgo@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Inspecteur général de l'administration de l'Education nationale
88010E	M.	Pradille	Claude	ANCIEN	29/07/1942		SOCR		commission des lois	Gard			Artisans	Commerce et industrie (Artisans)	Restaurateur
000772	M.	Prelot	Marcel	ANCIEN	30/10/1898	26/12/1972	U.N.R.		commission des lois	Doubs			Professeurs, professions scientifiques	Enseignement supérieur (sauf Professeurs de médecine)	Professeur de Faculté
000741	M.	Pretre	Henri	ANCIEN	20/08/1892	17/05/1983	RI		commission de l'économie	Haute-Saône			Agriculteurs exploitants	Professions agricoles	Agriculteur
19503N	Mme	Préville	Angèle	ACTIF	23/11/1955		SOCR		commission de l'aménagement du territoire et du développement durable	Lot		Non public	Retraités	Enseignement (Retraités)	Ancien professeur
000202	M.	Prevoteau	Maurice	ANCIEN	06/11/1908	02/03/1994	U.C.D.P.		commission de l'économie	Marne			Agriculteurs exploitants	Professions agricoles	Agriculteur
000275	M.	Prigent	François	ANCIEN	28/07/1911	14/09/1986	UC		commission de l'économie	Finistère			Commercants et assimilés	Commerce et industrie (Commercants)	Commerçant
11090Q	Mme	Primas	Sophie	ACTIF	07/06/1962		Les Républicains		commission des affaires économiques	Yvelines		s.primas@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Directrice commerciale
19739H	M.	Prince	Jean-Paul	ACTIF	08/07/1944		UC		commission de l'aménagement du territoire et du développement durable	Loir-et-Cher		Non public	Autres personnes sans activité professionnelle	Fonctionnaires (Retraités)	Ancien fonctionnaire
96007G	Mme	Printz	Gisèle	ANCIEN	27/06/1933		SOCR		commission des affaires sociales	Moselle		Gisele.Printz@wanadoo.fr	Employés administratifs d'entreprise	Salariés (Employés)	Sténodactylo
17583W	M.	Priou	Christophe	ACTIF	02/05/1958		Les Républicains		commission de l'aménagement du territoire et du développement durable	Loire-Atlantique		c.priou@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Cadre de la CCI de Saint-Nazaire
04043D	Mme	Procaccia	Catherine	ACTIF	13/10/1949		Les Républicains		commission des affaires économiques	Val-de-Marne		c.procaccia@senat.fr	Cadres d'entreprise	Salariés (Retraités)	Cadre supérieur
000639	M.	Proriol	Jean	ANCIEN	25/11/1934		U.R.E.I.		commission de l'économie	Haute-Loire			Cadres d'entreprise	Salariés (Cadres divers)	Cadre commercial
000752	M.	Prost	Pierre	ANCIEN	24/06/1896	14/12/1982	NI		commission des finances	Essonne	Secrétaire du Sénat		Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Trésorier Payeur Général honoraire, Contrôleur d'Etat honoraire
59244K	M.	Prouvoyeur	Claude	ANCIEN	05/01/1927	17/01/2018	RPR	Apparenté	commission des affaires sociales	Nord	Secrétaire du Sénat		Anciens cadres	Enseignement (Retraités)	Conseiller d'Administration scolaire et universitaire
000085	M.	Provo	Victor	ANCIEN	30/08/1903	04/10/1983	SOCR		commission de la culture	Nord			Ouvriers	Salariés (Ouvriers)	Trieur de laines
14235Q	Mme	Prunaud	Christine	ACTIF	04/09/1950		CRCE		commission des affaires étrangères	Côtes-d'Armor		c.prunaud@senat.fr	Professions intermédiaires administratives de la fonction publique	Salariés (Employés)	Agent d'assurance
80035E	M.	Puech	Jean	ANCIEN	22/02/1942		Les Républicains		commission des affaires étrangères	Aveyron		j.puech@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Professeur
19679N	Mme	Puissat	Frédérique	ACTIF	04/11/1967		Les Républicains		commission des affaires sociales	Isère		f.puissat@senat.fr	Cadres administratifs et commerciaux d'entreprise	Salariés (Cadres divers)	Cadre financier
74041P	M.	Quilliot	Roger	ANCIEN	19/06/1925	17/07/1998	SOCR		commission de la culture	Puy-de-Dôme			Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Professeur d'université
58918B	M.	Rabineau	André	ANCIEN	16/01/1911	15/02/2009	UC		commission des affaires sociales	Allier			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
000743	M.	Rabouin	Etienne	ANCIEN	20/11/1893	24/11/1979	U.N.R.		commission des lois	Maine-et-Loire			Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Officiers ministériels)	Notaire
14247U	M.	Rachline	David	ANCIEN	02/12/1987		NI		commission de l'aménagement du territoire et du développement durable	Var		d.rachline@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
95059Q	M.	Raffarin	Jean-Pierre	ANCIEN	03/08/1948		Les Républicains		commission de la culture	Vienne		jp.raffarin@senat.fr	Professions libérales	Autres professions	Consultant
19443T	Mme	Raimond-Pavero	Isabelle	ACTIF	23/02/1961		Les Républicains		commission des affaires étrangères	Indre-et-Loire		i.raimond-pavero@senat.fr	Huissiers de justice, officiers ministériels et professions libérales divers	Professions judiciaires et libérales (Divers)	Assistante juridique
06005F	M.	Rainaud	Marcel	ANCIEN	01/04/1940		SOCR		commission de la culture	Aude		marcel.rainaud@gmail.com	Professeurs, professions scientifiques	Enseignement (Divers)	Professeur de mathématiques
14135M	M.	Raison	Michel	ACTIF	05/11/1949		Les Républicains		commission des affaires économiques	Haute-Saône	Secrétaire du Sénat	m.raison@senat.fr	Agriculteurs exploitants	Professions agricoles	
95060H	M.	Ralite	Jack	ANCIEN	14/05/1928	12/11/2017	CRCE		commission de la culture	Seine-Saint-Denis		j.ralite@senat.fr	Journalistes, secrétaires de rédaction	Professions libérales (Journalistes)	Journaliste
59245L	M.	Ramassamy	Albert	ANCIEN	13/11/1923	04/11/2018	SOCR		commission des lois	La Réunion			Instituteurs et assimilés	Enseignement secondaire	Proviseur
19349W	M.	Rambaud	Didier	ACTIF	12/05/1959		LaREM		commission des finances	Isère		d.rambaud@senat.fr	Cadres de la fonction publique	Fonctionnaires (Cadres moyens)	Cadre administratif
19794Q	Mme	Ramond	Françoise	ACTIF	29/09/1940		Les Républicains	Apparenté	commission de l'aménagement du territoire et du développement durable	Eure-et-Loir		f.ramond@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	Ingénieure
01016M	M.	Raoul	Daniel	ANCIEN	28/07/1941		SOCR		commission des finances	Maine-et-Loire		d.raoul@senat.fr	Autres personnes sans activité professionnelle	Enseignement supérieur (sauf Professeurs de médecine)	Universitaire
92042S	M.	Raoult	Paul	ANCIEN	26/11/1944		SOCR		commission de l'économie	Nord		Non public	Instituteurs et assimilés	Enseignement secondaire	Professeur d'histoire-géographie
14331P	M.	Rapin	Jean-François	ACTIF	11/05/1966		Les Républicains		commission des finances	Pas-de-Calais		jf.rapin@senat.fr	Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin généraliste
58926B	Mlle	Rapuzzi	Irma	ANCIEN	12/04/1910	03/04/2018	SOCR		commission des finances	Bouches-du-Rhône			Instituteurs et assimilés	Enseignement secondaire	Professeur
000007	M.	Rastoin	Jacques	ANCIEN	19/02/1900	17/06/1979	RI		commission de la culture	Bouches-du-Rhône			Professions libérales	Professions judiciaires et libérales (Divers)	Administrateur de sociétés
19269X	Mme	Rauscent	Noëlle	ACTIF	10/10/1946		LaREM		commission des affaires économiques	Yonne		Non public	Autres personnes sans activité professionnelle	Sans profession déclarée	
74042Q	M.	Rausch	Jean-Marie	ANCIEN	24/09/1929		RDSE	Rattaché	commission de l'économie	Moselle		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
14055N	M.	Ravier	Stéphane	ACTIF	04/08/1969		NI		commission des affaires étrangères	Bouches-du-Rhône		s.ravier@senat.fr	Cadres de la fonction publique	Fonctionnaires (Divers)	Fonctionnaire
000104	M.	Raybaud	Joseph	ANCIEN	27/06/1904	22/03/1991	R.D.E.		commission des finances	Alpes-Maritimes			Agriculteurs exploitants	Professions agricoles	Agriculteur
14225N	M.	Raynal	Claude	ACTIF	10/10/1957		SOCR		commission des finances	Haute-Garonne		c.raynal@senat.fr	Magistrats	Fonctionnaires (Hauts Fonctionnaires)	Conseiller de tribunal administratif
08070Y	M.	Rebsamen	François	ANCIEN	25/06/1951		SOCR		commission des finances	Côte-d'Or		f.rebsamen@senat.fr	Cadres de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Administrateur territorial
19766L	M.	Regnard	Damien	ACTIF	24/02/1966		Les Républicains		commission de la culture	Français établis hors de France		d.regnard@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
80036F	M.	Régnault	René	ANCIEN	23/08/1936		SOCR		commission des finances	Côtes-du-Nord			Instituteurs et assimilés	Enseignement secondaire	Professeur d'enseignement technique
10015M	M.	Reichardt	André	ACTIF	05/12/1949		Les Républicains		commission des lois	Bas-Rhin		a.reichardt@senat.fr	Cadres et Professions intellectuelles supérieures	Autres professions	Directeur général de Chambre des métiers
01014K	M.	Reiner	Daniel	ANCIEN	17/01/1941		SOCR		commission des affaires étrangères	Meurthe-et-Moselle		d.reiner@senat.fr	Autres personnes sans activité professionnelle	Enseignement secondaire	Professeur de mathématiques
85002R	M.	Renar	Ivan	ANCIEN	26/04/1937		CRCE		commission de la culture	Nord		i.renar@wanadoo.fr	Instituteurs et assimilés	Enseignement secondaire	Professeur
19705W	Mme	Renaud-Garabedian	Évelyne	ACTIF	18/06/1950		Les Républicains	Rattaché	commission des affaires économiques	Français établis hors de France		e.renaud-garabedian@senat.fr	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Chef d'entreprise
04090L	M.	Repentin	Thierry	ANCIEN	05/04/1963		SOCR		commission de l'aménagement du territoire et du développement durable	Savoie		senat.repentin@wanadoo.fr	Cadres d'entreprise	Salariés (Cadres divers)	Cadre
000293	M.	Repiquet	Georges	ANCIEN	15/04/1912	30/09/1988	RPR		commission des affaires étrangères	La Réunion			Agriculteurs exploitants	Professions agricoles	Agriculteur
000077	M.	Reptin	Ernest	ANCIEN	17/06/1903	15/12/1976	RI		commission des affaires sociales	Somme			Agriculteurs exploitants	Professions agricoles	Agriculteur
11012A	M.	Requier	Jean-Claude	ACTIF	04/10/1947		RDSE		commission des finances	Lot		senateur-requier@orange.fr	Autres personnes sans activité professionnelle	Enseignement (Retraités)	Professeur d'histoire-géographie
000750	M.	Restat	Etienne	ANCIEN	23/05/1898	30/11/1971	G.D.		commission de l'économie	Lot-et-Garonne			Agriculteurs exploitants	Professions agricoles	Agriculteur
04033B	M.	Retailleau	Bruno	ACTIF	20/11/1960		Les Républicains		commission de la culture	Vendée		b.retailleau@senat.fr	Professeurs, professions scientifiques	Salariés (Permanents politiques)	Sans profession déclarée
95061J	M.	Reux	Victor	ANCIEN	03/12/1929	01/06/2016	Les Républicains		commission de la culture	Saint-Pierre-et-Miquelon		Non public	Anciens cadres	Enseignement (Retraités)	Enseignant retraité
95062K	M.	Revet	Charles	ANCIEN	09/11/1937		Les Républicains		commission de l'aménagement du territoire et du développement durable	Seine-Maritime		revet.charles@wanadoo.fr	Agriculteurs exploitants	Professions agricoles	Agriculteur
89037V	M.	Revol	Henri	ANCIEN	14/02/1936		Les Républicains	Apparenté	commission de l'économie	Côte-d'Or		h.revol@senat.fr	Ingenieurs et cadres techniques d'entreprise	Fonctionnaires (Divers)	Ingénieur Arts et métiers et ingénieur INSTN
000158	M.	Ribeyre	Paul	ANCIEN	11/12/1906	14/01/1988	C.N.I.P.		commission des finances	Ardèche			Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Directeur de sociétés
95063L	M.	Richard	Alain	ACTIF	29/08/1945		LaREM		commission des lois	Val-d'Oise		a.richard@senat.fr	Personnels de direction de la fonction publique	Fonctionnaires (Hauts Fonctionnaires)	Conseiller d'Etat
57310T	M.	Richard	Jacques	ANCIEN	23/03/1918	05/12/2010	U.N.R.		commission des finances	Seine-et-Oise			Professions intermédiaires administratives de la fonction publique	Fonctionnaires (Cadres moyens)	Officier
19798U	Mme	Richer	Marie-Pierre	ACTIF	19/04/1963		Les Républicains	Rattaché	commission des affaires sociales	Cher			Autres personnes sans activité professionnelle	Sans profession déclarée	
92005M	M.	Richert	Philippe	ANCIEN	22/05/1953		Les Républicains		commission de la culture	Bas-Rhin		p.richert@senat.fr	Instituteurs et assimilés	Enseignement secondaire	Principal de collège
04065K	M.	Ries	Roland	ANCIEN	11/01/1945		SOCR		commission de l'aménagement du territoire et du développement durable	Bas-Rhin		r.ries@senat.fr	Cadres et Professions intellectuelles supérieures	Salariés (Cadres divers)	Consultant
89038W	M.	Rigaudière	Roger	ANCIEN	22/07/1932	17/02/1999	RPR		commission de l'économie	Cantal			Agriculteurs exploitants	Professions agricoles	Agriculteur
58938F	M.	Rigou	Michel	ANCIEN	29/06/1927	29/09/2016	R.D.E.		commission de l'économie	Charente-Maritime			Vétérinaires (libéraux ou salariés)	Professions médicales (Vétérinaires)	Vétérinaire
77060F	M.	Rinchet	Roger	ANCIEN	16/06/1933		SOCR		commission de l'économie	Savoie			Anciens cadres	Enseignement (Retraités)	Retraité de l'Education nationale
14271U	Mme	Riocreux	Stéphanie	ANCIEN	20/05/1966		LaREM		commission des affaires sociales	Indre-et-Loire		s.riocreux@senat.fr	Employés de commerce	Salariés (Employés)	Employée
98033S	M.	Rispat	Yves	ANCIEN	17/09/1931	15/01/2015	Les Républicains		commission des affaires étrangères	Gers		y.rispat@senat.fr	Autres personnes sans activité professionnelle	Professions agricoles	Exploitant agricole
000142	M.	Ritzenthaler	Eugène	ANCIEN	10/03/1906	16/03/1986	U.N.R.		commission de l'économie	Haut-Rhin			Agriculteurs exploitants	Professions agricoles	Agriculteur
14361V	Mme	Rivollier	Évelyne	ANCIEN	13/05/1958		CRCE		commission de la culture	Loire			Cadres d'entreprise	Salariés (Cadres divers)	conseillère technique
14017T	M.	Robert	Didier	ANCIEN	26/04/1964		Les Républicains		commission des affaires sociales	La Réunion		didier.robert@senat.fr	Autres personnes sans activité professionnelle	Sans profession déclarée	
77003V	M.	Robert	Guy	ANCIEN	17/09/1921	24/10/2011	UC		commission des affaires étrangères	Vienne			Agriculteurs exploitants	Professions agricoles	Agriculteur
88003F	M.	Robert	Jean-Jacques	ANCIEN	24/04/1924	18/03/2000	RPR		commission de l'économie	Essonne		Non public	Chefs d'entreprise de 10 salaries ou plus	Commerce et industrie (Chefs d'entreprises)	Président Directeur Général
58919C	M.	Robert	Paul	ANCIEN	03/03/1912	13/09/2013	R.D.E.		commission des affaires étrangères	Cantal			Retraités	Fonctionnaires (Retraités)	Directeur départemental honoraire des impôts
14229S	Mme	Robert	Sylvie	ACTIF	28/08/1963		SOCR		commission de la culture	Ille-et-Vilaine		s.robert@senat.fr	Autres personnes sans activité professionnelle	Salariés (Cadres divers)	Cadre culturel
000125	M.	Robini	Victor	ANCIEN	30/05/1905	25/12/1984	G.D.		commission des affaires sociales	Alpes-Maritimes			Medecins libéraux généralistes	Professions médicales (Médecins)	Médecin
95064M	M.	Rocard	Michel	ANCIEN	23/08/1930	02/07/2016	SOCR		commission des affaires étrangères	Yvelines			Anciens cadres	Fonctionnaires (Retraités)	Inspecteur général des Finances en retraite
89039X	M.	Rocca Serra	Jacques	ANCIEN	20/01/1943		UC		commission de l'économie	Bouches-du-Rhône			Professions libérales	Professions médicales (Autres)	Kinésithérapeute
11093T	M.	Roche	Gérard	ANCIEN	29/12/1942		UC		commission des affaires sociales	Haute-Loire		g.roche@senat.fr	Autres personnes sans activité professionnelle	Professions médicales (Médecins)	Médecin
56305S	M.	Rochereau	Henri	ANCIEN	25/03/1908	25/01/1999	RI		commission de l'économie	Vendée			Artisans, commercants et chefs d'entreprise	Commerce et industrie (Chefs d'entreprises)	Exportateur
59557A	Mme	Rodi	Nelly	ANCIEN	16/02/1918	15/04/2004	RPR		commission des affaires sociales	Yvelines			Anciens cadres	Professions médicales (Retraités)	Sage-femme
000537	M.	Roge	Léon	ANCIEN	09/07/1924	12/09/1969	C		commission de la culture	Seine-Maritime			Instituteurs et assimilés	Enseignement secondaire	Professeur d'Education Physique
